x (m),y (m),z (m),t (s),id
-4.17162240708088e-06,-8.05791484798758e-06,-2.68094902281908e-08,3.559972975,1
-4.17110454008625e-06,-8.05819910316933e-06,-2.68808244141042e-08,3.560222975,1
-4.17058667309162e-06,-8.05848335835109e-06,-2.69521586000177e-08,3.560472975,1
-4.17006880609699e-06,-8.05876761353284e-06,-2.70234927859312e-08,3.560722975,1
-4.16955093910236e-06,-8.0590518687146e-06,-2.70948269718447e-08,3.560972975,1
-4.16903307210772e-06,-8.05933612389636e-06,-2.71661611577581e-08,3.561222975,1
-4.16851520511309e-06,-8.05962037907811e-06,-2.72374953436717e-08,3.561472975,1
-4.16799733811846e-06,-8.05990463425987e-06,-2.73088295295851e-08,3.561722975,1
-4.16747947112383e-06,-8.06018888944162e-06,-2.73801637154986e-08,3.561972975,1
-4.1669616041292e-06,-8.06047314462338e-06,-2.74514979014121e-08,3.562222975,1
-4.16644373713457e-06,-8.06075739980513e-06,-2.75228320873256e-08,3.562472975,1
-4.16592587013994e-06,-8.06104165498689e-06,-2.7594166273239e-08,3.562722975,1
-4.16540800314531e-06,-8.06132591016865e-06,-2.76655004591526e-08,3.562972975,1
-4.16489013615068e-06,-8.0616101653504e-06,-2.7736834645066e-08,3.563222975,1
-4.16504478578855e-06,-8.06082357466173e-06,-2.70484260878054e-08,3.563472975,1
-4.16609858654924e-06,-8.05860526880021e-06,-2.5344245566606e-08,3.563722975,1
-4.16715238730993e-06,-8.05638696293867e-06,-2.36400650454036e-08,3.563972975,1
-4.16820618807062e-06,-8.05416865707714e-06,-2.19358845242041e-08,3.564222975,1
-4.16925998883131e-06,-8.05195035121561e-06,-2.02317040030047e-08,3.564472975,1
-4.170313789592e-06,-8.04973204535408e-06,-1.85275234818023e-08,3.564722975,1
-4.17136759035269e-06,-8.04751373949255e-06,-1.68233429606029e-08,3.564972975,1
-4.17242139111338e-06,-8.04529543363102e-06,-1.51191624394035e-08,3.565222975,1
-4.17347519187408e-06,-8.04307712776949e-06,-1.3414981918201e-08,3.565472975,1
-4.17452899263477e-06,-8.04085882190796e-06,-1.17108013970016e-08,3.565722975,1
-4.17558279339546e-06,-8.03864051604643e-06,-1.00066208758022e-08,3.565972975,1
-4.17663659415615e-06,-8.0364222101849e-06,-8.30244035459979e-09,3.566222975,1
-4.17769039491684e-06,-8.03420390432337e-06,-6.59825983340038e-09,3.566472975,1
-4.17874419567753e-06,-8.03198559846184e-06,-4.89407931220097e-09,3.566722975,1
-4.17961402177566e-06,-8.03036830324322e-06,-3.62375683205825e-09,3.566972975,1
-4.17994493584653e-06,-8.03051153232434e-06,-3.6243230340755e-09,3.567222975,1
-4.18027584991739e-06,-8.03065476140546e-06,-3.62488923609276e-09,3.567472975,1
-4.18060676398826e-06,-8.03079799048658e-06,-3.62545543811001e-09,3.567722975,1
-4.18093767805913e-06,-8.0309412195677e-06,-3.62602164012727e-09,3.567972975,1
-4.18126859212999e-06,-8.03108444864882e-06,-3.62658784214452e-09,3.568222975,1
-4.18159950620086e-06,-8.03122767772994e-06,-3.62715404416177e-09,3.568472975,1
-4.18193042027173e-06,-8.03137090681106e-06,-3.62772024617903e-09,3.568722975,1
-4.18226133434259e-06,-8.03151413589219e-06,-3.62828644819628e-09,3.568972975,1
-4.18259224841346e-06,-8.03165736497331e-06,-3.62885265021354e-09,3.569222975,1
-4.18292316248433e-06,-8.03180059405443e-06,-3.62941885223079e-09,3.569472975,1
-4.18325407655519e-06,-8.03194382313555e-06,-3.62998505424805e-09,3.569722975,1
-4.18358499062606e-06,-8.03208705221667e-06,-3.6305512562653e-09,3.569972975,1
-4.18391590469693e-06,-8.03223028129779e-06,-3.63111745828256e-09,3.570222975,1
-4.18424681876779e-06,-8.03237351037891e-06,-3.63168366029981e-09,3.570472975,1
-4.18457773283866e-06,-8.03251673946003e-06,-3.63224986231706e-09,3.570722975,1
-4.18490864690952e-06,-8.03265996854115e-06,-3.63281606433432e-09,3.570972975,1
-4.18523956098039e-06,-8.03280319762228e-06,-3.63338226635157e-09,3.571222975,1
-4.18557047505126e-06,-8.0329464267034e-06,-3.63394846836883e-09,3.571472975,1
-4.18590138912212e-06,-8.03308965578452e-06,-3.63451467038608e-09,3.571722975,1
-4.18623230319299e-06,-8.03323288486564e-06,-3.63508087240334e-09,3.571972975,1
-4.18656321726386e-06,-8.03337611394676e-06,-3.63564707442059e-09,3.572222975,1
-4.18689413133472e-06,-8.03351934302788e-06,-3.63621327643784e-09,3.572472975,1
-4.18722504540559e-06,-8.033662572109e-06,-3.6367794784551e-09,3.572722975,1
-4.18755595947646e-06,-8.03380580119012e-06,-3.63734568047235e-09,3.572972975,1
-4.18788687354732e-06,-8.03394903027124e-06,-3.63791188248961e-09,3.573222975,1
-4.18821778761819e-06,-8.03409225935237e-06,-3.63847808450686e-09,3.573472975,1
-4.18854870168906e-06,-8.03423548843349e-06,-3.63904428652412e-09,3.573722975,1
-4.18887961575992e-06,-8.03437871751461e-06,-3.63961048854137e-09,3.573972975,1
-4.18921052983079e-06,-8.03452194659573e-06,-3.64017669055863e-09,3.574222975,1
-4.18954144390166e-06,-8.03466517567685e-06,-3.64074289257588e-09,3.574472975,1
